Overline,Title,Blurb,URL,Thumbnail,Latitude,Longitude,icontype
Aurora,Aurora residents asked to stay off roads,"Heavy rains have snarled traffic, flooded streets and parks but not resulted in reports of casualties or structure damage, Mayor Steve Hogan said Thursday.",http://www.denverpost.com/breakingnews/ci_24079478/colorado-flood-aurora-residents-asked-stay-off-roads,http://extras.mnginteractive.com/live/media/site36/2013/0912/20130912__expo_park_aurora_flooding~p1_200.jpg,39.703611,-104.820812,rainy
Lyons,"Lyons cut off by flooding, divided into islands",Much of the Town of Lyons was submerged Thursday after the St. Vrain River spilled over its banks and barreled through neighborhoods.,http://www.denverpost.com/ci_24072743/dam-break-threatens-lyons-residents-warned-go-higher,http://extras.mnginteractive.com/live/media/site46/2013/0912/20130912__13tcalyo1_300.jpg,40.224611,-105.271812,rainy
Boulder,"Boulder creeks flood homes, swamp cars and close schools","Record-breaking rain turned normally quiet creeks into raging, brown torrents that swept through Boulder on Thursday, flooding homes, swamping cars and closing roads and schools.",http://www.denverpost.com/breakingnews/ci_24079087/boulder-creeks-flood-homes-swamp-cars-and-close,http://extras.mnginteractive.com/live/media/site36/2013/0912/20130912__boulder_colorado_flooding_sidewalk~p1_200.jpg,40.024611,-105.271812,rainy
Jamestown,Jamestown residents can't evacuate after roads washed out,"Residents of Jamestown have been ordered to evacuate, but all roads in and out of town are washed out so it's impossible to heed the warning for many, residents say.",http://www.denverpost.com/breakingnews/ci_24077853/colorado-flood-jamestown-residents-cant-evacuate-after-roads,http://mediacenter.smugmug.com/001-NEWS/World-News/2013-09-12-Major-Flooding-In/i-nMKVkTH/0/L/091213_colorado_flooding_67-L.jpg,40.115811,-105.387812,rainy
Commerce City,Commerce City neighborhood evacuated,"Commerce City has ordered the evacuation of the neighborhood around Fairfax Park, including the Shady Lane Mobile Home Park, because a storm water retention pond is at capacity and expected to spill.",http://www.denverpost.com/breakingnews/ci_24079454/commerce-city-neighborhood-evacuated-by-flood-threat,http://extras.mnginteractive.com/live/media/site36/2013/0912/20130912__cam_breach_rocky_mountain_arsenal~p1.jpg,39.813611,-104.926812,rainy
Larimer County,Road collapse strands people in Big Thompson Canyon,"Boulders and erosion have closed U.S. 34 between Loveland and Estes Park, trapping residents along an 8-mile stretch of Big Thompson Canyon near the town of Drake.",http://www.denverpost.com/breakingnews/ci_24079187/colorado-flood-evacuations-imminent-big-thompson-canyon,http://extras.mnginteractive.com/live/media/site47/2013/0912/20130912_100832_0912130951b_500.jpg,40.431811,-105.339812,rainy
Longmont,Floodwaters divide Longmont,"Longmont's city manager declared a state of emergency Thursday morning as the rapidly rising St. Vrain River and Left Hand Creek cut across the city, forcing the evacuation of neighborhoods and closing major streets. The city was cut in half by the roiling waters.",http://www.denverpost.com/ci_24072748/longmont-evacuates-residents-along-st-vrain-river,http://extras.mnginteractive.com/live/media/site46/2013/0912/20130912_103807_longmont4_300.jpg,40.155811,-105.099812,rainy
Manitou Springs,Water closes all roads into Manitou Springs,All roads in and out of Manitou Springs are closed because of high water and flood danger. There are no mandatory evacuations.,http://www.denverpost.com/breakingnews/ci_24080334/colorado-flood-water-closes-all-roads-into-manitou-springs,http://extras.mnginteractive.com/live/media/site36/2013/0912/20130912__manitou-springs-flooding~p1.jpg,38.862311,-104.914812,rainy
Denver,"East area of Denver evacuated, roads closed by flood waters",The National Weather Service extended a flash-flood warning for southern Denver County to 3:15 p.m. Crews are working to clear drains and roads as standing water and weather conditions continue to cause problems in some areas across the city.,http://www.denverpost.com/breakingnews/ci_24080659/colorado-flood-east-area-denver-evacuated-roads-closed,http://extras.mnginteractive.com/live/media/site36/2013/0912/20130912__Denver-spillway~p1_200.jpg,39.737311,-104.888812,rainy
Erie,Flooding prompts evacuations near Erie; community center to serve as shelter,"People living north of the Kenosha Farm neighborhood in Erie, specifically homes on Buffalo Road and Westview, have been ordered to evacuate by Mountain View Fire Rescue and the Weld County Sheriff's Office.",http://www.denverpost.com/ci_24077322/flooding-prompts-evacuations-erie-community-center-serve-shelter,http://mediacenter.smugmug.com/001-NEWS/World-News/2013-09-12-Major-Flooding-In/i-34htkXP/0/L/091213_colorado_flooding_53-L.jpg,40.0605378,-105.0587762,rainy
